2023-07-07 19:34:37 - INFO - ******************** Processing ID: 346804 ******************** (1/93021 - 0.0%)
2023-07-07 19:35:36 - INFO - Skipped ID: 346804 #COLUMN: introtext #URL: https://www.linuxfoundation.org/press/press-release/state-of-open-source-security #STATUS_CODE: 200
2023-07-07 19:53:28 - INFO - ******************** Processing ID: 346804 ******************** (1/93021 - 0.0%)
2023-07-07 19:54:45 - INFO - Skipped ID: 346804 #COLUMN: introtext #URL: https://www.linuxfoundation.org/press/press-release/state-of-open-source-security #STATUS_CODE: 200
2023-07-07 19:58:37 - INFO - ******************** Processing ID: 287695 ******************** (1/93021 - 0.0%)
2023-07-07 19:59:28 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/features/the-ultimate-guide-to-using-data-encryption-on-linux #STATUS_CODE: 200
2023-07-07 19:59:29 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/debian-dsa-4752-1-bind9-security-update-14-05-23 #STATUS_CODE: 200
2023-07-07 19:59:29 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/debian-dsa-4749-1-firefox-esr-security-update-09-51-41 #STATUS_CODE: 200
2023-07-07 19:59:29 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/debian-dsa-4751-1-squid-security-update-09-05-31 #STATUS_CODE: 200
2023-07-07 19:59:29 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/debian-dsa-4750-1-nginx-security-update-12-58-14 #STATUS_CODE: 200
2023-07-07 19:59:30 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-32-wireshark-2020-7f91f10f2b-10-31-40 #STATUS_CODE: 200
2023-07-07 19:59:31 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/ #STATUS_CODE: 301
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/debian/debian-dsa-4748-1-ghostscript-security-update-15-27-37 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/gentoo/gentoo-glsa-202008-18-x-org-x11-library-multiple-vulnerabilities-20-56-12 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/gentoo/gentoo-glsa-202008-17-redis-multiple-vulnerabilities-20-55-32 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-31-wireshark-2020-2981a0224d-10-21-28 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-31-firejail-2020-80a6d7e7e0-10-41-27 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-32-chrony-2020-7aa962c55e-21-05-15 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-32-lua-2020-d7ed9f18ff-10-53-08 #STATUS_CODE: 200
2023-07-07 19:59:32 - INFO - Skipped ID: 287695 #COLUMN: fulltext #URL: https://linuxsecurity.com/advisories/fedora/fedora-32-libx11-2020-eba554b9d5-10-32-02 #STATUS_CODE: 200
